KW,LO IN TEMP,SCAV TEMP,FO TEMP,TC IN TEMP,TC OUT TEMP,LO PRESS,FO PRESS,CW PRESS,SCAV AIR PRESS,TC LO PRESS,Rack Index,AvgEGT
188,61,36.0,48,524,449,5.2,7.1,1.7,0.6,2.9,16.64,414.5
183,61,36.0,48,521,447,5.0,7.3,1.7,0.6,2.8,16.49,412.1666666666667
185,61,36.0,48,524,449,5.2,7.1,1.7,0.6,2.9,16.55,414.3333333333333
188,61,36.0,48,507,451,5.0,7.3,1.7,0.6,2.8,16.64,401.8333333333333
220,61,36.0,45,521,441,5.1,6.8,1.7,0.7,2.8,17.6,423.1666666666667
119,61,36.0,45,509,447,5.0,6.9,1.7,0.7,2.8,14.57,420.8333333333333
193,61,35.0,49,524,447,5.2,7.2,1.7,0.6,2.9,16.79,415.8333333333333
211,61,36.0,48,510,450,5.0,7.3,1.7,0.6,2.8,17.33,405.8333333333333
448,62,36.0,105,535,402,4.9,7.5,32.0,1.9,2.7,24.44,422.1666666666667
249,61,34.0,103,534,431,5.1,7.1,1.7,1.0,2.8,18.47,423.6666666666667
251,61,32.0,105,514,433,4.9,7.2,1.7,0.9,2.7,18.53,413.5
247,61,33.0,103,534,436,5.1,7.4,1.7,0.8,2.8,18.41,424.5
243,61,31.0,105,515,438,4.9,7.0,1.7,0.8,2.7,18.29,414.3333333333333
404,62,31.0,102,523,480,4.9,7.4,3.1,1.7,2.7,23.12,429.3333333333333
250,61,34.0,99,534,432,5.0,7.3,1.7,0.8,2.8,18.5,424.3333333333333
247,61,31.0,102,514,464,5.0,7.8,1.8,0.9,2.7,18.41,414.1666666666667
433,62,36.0,102,529,397,4.8,7.7,1.8,1.9,2.7,23.99,429.1666666666667
247,61,34.0,102,532,427,5.1,7.4,1.8,0.9,2.8,18.41,423.8333333333333
248,61,31.0,105,510,434,4.9,8.2,1.7,0.9,2.7,18.44,414.3333333333333
239,61,34.0,102,534,434,5.1,7.5,3.2,0.8,2.9,18.17,434.6666666666667
239,62,31.0,105,515,441,4.9,8.4,3.2,0.8,2.7,18.17,414.3333333333333
236,61,34.0,101,536,434,5.1,6.9,1.8,0.8,2.8,18.08,425.1666666666667
239,62,31.0,104,515,439,4.9,8.2,1.8,0.8,2.7,18.17,414.3333333333333
243,61,34.0,102,536,436,5.1,7.0,3.2,0.8,2.8,18.29,427.1666666666667
234,61,32.0,105,516,445,4.9,8.1,3.2,0.8,2.7,18.02,419.5
268,61,34.0,101,540,431,5.0,7.3,1.7,0.9,2.7,19.04,429.0
265,62,31.0,102,514,432,4.9,8.3,1.7,0.9,2.7,18.95,415.6666666666667
191,61,33.0,104,529,447,5.1,8.0,1.8,0.6,2.8,16.73,418.0
203,61,31.0,106,503,443,5.0,8.9,1.8,0.7,2.8,17.09,404.5
192,61,32.0,104,530,442,5.1,7.9,1.9,0.6,2.7,16.76,418.5
198,61,32.0,105,504,441,5.0,8.3,1.8,0.6,2.8,16.94,400.6666666666667
137,61,33.0,105,512,445,5.0,7.9,3.2,0.3,2.9,15.11,402.8333333333333
144,61,30.0,108,484,440,5.0,8.8,3.2,0.4,3.1,15.32,392.6666666666667
206,61,33.0,102,534,442,4.9,8.0,1.8,0.7,2.7,17.18,422.0
206,61,30.0,104,508,447,5.0,8.8,1.8,0.7,2.8,17.18,405.5
110,60,33.0,100,506,440,5.0,7.5,3.4,0.3,2.8,14.3,401.8333333333333
141,61,32.0,102,482,438,5.1,8.1,3.5,0.4,3.1,15.23,394.1666666666667
153,61,33.0,102,511,441,4.8,7.7,2.2,0.4,2.7,15.59,406.0
144,61,32.0,104,489,442,5.0,8.1,2.2,0.5,3.0,15.32,397.0
142,61,33.0,102,507,441,4.8,7.6,2.2,0.4,2.8,15.26,406.3333333333333
145,61,32.0,105,486,441,5.0,8.0,2.2,0.4,3.1,15.35,399.5
275,61,35.0,98,528,420,4.7,6.6,1.9,1.0,2.6,19.25,422.1666666666667
271,62,34.0,101,519,435,4.9,7.6,1.9,1.0,2.7,19.13,421.0
404,63,39.0,102,557,399,4.6,6.4,3.1,2.0,2.4,23.12,448.6666666666667
259,61,34.0,99,527,424,4.7,6.6,1.9,0.9,2.6,18.77,421.8333333333333
255,62,34.0,103,520,421,4.6,7.7,1.9,0.9,2.7,18.65,420.6666666666667
199,61,33.0,103,525,441,4.7,7.5,3.2,0.6,2.6,16.97,420.0
200,61,32.0,106,507,449,4.9,8.6,3.3,0.7,2.8,17.0,410.3333333333333
411,63,36.0,104,535,399,4.8,8.2,1.8,1.9,2.7,23.33,417.8333333333333
190,60,32.0,99,524,448,4.6,7.2,1.9,0.5,2.6,16.7,422.3333333333333
183,59,32.0,99,446,410,5.1,8.6,1.7,0.5,5.3,16.49,387.1666666666667
224,61,33.0,102,533,435,4.5,7.4,1.9,0.8,2.5,17.72,422.0
228,60,30.0,102,444,415,5.0,9.1,1.9,0.7,5.2,17.84,385.6666666666667
392,61,37.0,102,550,408,4.2,6.6,1.9,1.7,2.3,22.76,442.3333333333333
219,61,33.0,100,533,440,4.4,7.4,1.9,0.7,2.4,17.57,429.6666666666667
217,60,31.0,100,534,418,5.0,9.2,1.8,0.7,5.2,17.51,367.3333333333333
378,61,40.0,102,500,385,4.2,6.8,1.9,1.8,2.0,22.34,423.8333333333333
403,61,38.0,402,556,405,4.2,6.8,1.9,1.8,2.3,23.09,451.5
428,62,39.0,104,527,396,4.7,6.9,1.8,2.0,2.6,23.84,443.3333333333333
465,63,41.0,103,533,393,4.8,7.6,1.9,2.1,2.7,24.95,452.8333333333333
403,62,39.0,104,524,393,4.8,7.9,1.8,1.8,2.7,23.09,445.1666666666667
426,62,38.0,105,532,397,4.7,7.8,1.9,2.0,2.6,23.78,449.1666666666667
415,62,38.0,105,531,397,4.7,7.8,1.8,2.0,2.6,23.45,451.5
429,62,39.0,102,531,394,4.7,6.6,1.8,2.0,2.6,23.87,450.3333333333333
429,61,39.0,105,541,407,4.0,6.5,1.8,2.0,2.2,23.87,457.3333333333333
452,61,39.0,100,569,403,3.9,7.7,1.8,2.0,2.1,24.56,458.5
399,60,32.0,101,508,389,4.8,6.5,1.8,1.6,5.0,22.97,341.5
438,61,39.0,102,564,405,3.9,7.5,1.8,1.9,2.1,24.14,456.8333333333333
414,60,37.0,98,557,403,3.9,7.7,1.8,1.8,2.1,23.42,431.6666666666667
455,61,39.0,100,543,403,3.7,7.7,1.8,2.1,2.0,24.65,459.3333333333333
445,60,34.0,100,507,381,4.8,6.0,1.8,1.9,4.9,24.35,429.8333333333333
447,60,33.0,102,503,380,4.8,6.0,1.8,1.9,4.9,24.41,415.5
410,60,33.0,100,501,380,4.8,6.3,1.8,1.8,4.9,23.3,403.6666666666667
389,62,32.0,100,532,389,4.7,8.1,1.9,1.8,2.6,22.67,406.0
389,62,32.0,100,506,384,4.7,7.9,1.9,1.7,2.7,22.67,428.6666666666667
401,62,33.0,103,507,383,4.7,7.9,1.9,1.9,2.6,23.03,433.1666666666667
388,62,34.0,104,506,389,4.7,7.9,3.2,1.9,2.6,22.64,423.6666666666667
389,62,34.0,104,500,382,4.7,7.6,1.9,1.8,2.6,22.67,402.8333333333333
369,62,34.0,105,501,382,4.7,7.7,1.9,1.7,2.6,22.07,418.1666666666667
387,62,33.0,102,499,380,4.7,7.7,1.9,1.8,2.6,22.61,411.8333333333333
401,62,34.0,102,503,376,4.7,8.1,1.9,2.0,2.6,23.03,420.5
400,62,34.0,101,503,377,4.7,7.9,1.9,1.9,2.6,23.0,419.1666666666667
379,62,34.0,102,498,379,4.7,7.9,3.2,1.8,2.6,22.37,411.0
